time_s,charge_adc,charge_v,discharge_adc,discharge_v
0.000000,0,0.000000,1016,4.965787
0.022086,40,0.195503,976,4.770283
0.044171,79,0.386119,937,4.579668
0.066257,140,0.684262,876,4.281525
0.088343,210,1.026393,806,3.939394
0.110429,270,1.319648,746,3.646139
0.132514,332,1.622678,684,3.343109
0.154600,386,1.886608,630,3.079179
0.176686,436,2.130987,580,2.834800
0.198771,481,2.350929,535,2.614858
0.220857,524,2.561095,492,2.404692
0.242943,564,2.756598,452,2.209189
0.265029,599,2.927664,417,2.038123
0.287114,632,3.088954,384,1.876833
0.309200,662,3.235582,354,1.730205
0.331286,689,3.367546,327,1.598240
0.353371,714,3.489736,302,1.476051
0.375457,738,3.607038,278,1.358749
0.397543,761,3.719453,255,1.246334
0.419629,781,3.817204,235,1.148583
0.441714,800,3.910068,216,1.055718
0.463800,816,3.988270,200,0.977517
0.485886,833,4.071359,183,0.894428
0.507971,847,4.139785,169,0.826002
0.530057,859,4.198436,157,0.767351
0.552143,873,4.266862,143,0.698925
0.574229,885,4.325513,131,0.640274
0.596314,895,4.374389,121,0.591398
0.618400,904,4.418377,112,0.547410
0.640486,913,4.462366,103,0.503421
0.662571,922,4.506354,94,0.459433
0.684657,930,4.545455,86,0.420332
0.706743,936,4.574780,80,0.391007
0.728829,942,4.604106,74,0.361681
0.750914,949,4.638319,67,0.327468
0.773000,955,4.667644,61,0.298143
0.795086,959,4.687195,57,0.278592
0.817171,964,4.711632,52,0.254154
0.839257,968,4.731183,48,0.234604
0.861343,972,4.750733,44,0.215054
0.883429,976,4.770283,40,0.195503
0.905514,979,4.784946,37,0.180841
0.927600,983,4.804497,33,0.161290
0.949686,985,4.814272,31,0.151515
0.971771,988,4.828935,28,0.136852
0.993857,991,4.843597,25,0.122190
1.015943,993,4.853372,23,0.112414
1.038029,994,4.858260,22,0.107527
1.060114,996,4.868035,20,0.097752
1.082200,999,4.882698,17,0.083089
1.104286,1000,4.887586,16,0.078201
1.126371,1002,4.897361,14,0.068426
1.148457,1003,4.902248,13,0.063539
1.170543,1005,4.912023,11,0.053763
1.192629,1006,4.916911,10,0.048876
1.214714,1006,4.916911,10,0.048876
1.236800,1008,4.926686,8,0.039101
1.258886,1009,4.931574,7,0.034213
1.280971,1009,4.931574,7,0.034213
1.303057,1011,4.941349,5,0.024438
1.325143,1011,4.941349,5,0.024438
1.347229,1012,4.946237,4,0.019550
1.369314,1012,4.946237,4,0.019550
1.391400,1013,4.951124,3,0.014663
1.413486,1014,4.956012,2,0.009775
1.435571,1015,4.960899,1,0.004888
1.457657,1015,4.960899,1,0.004888
1.479743,1015,4.960899,1,0.004888
1.501829,1015,4.960899,1,0.004888
1.523914,1015,4.960899,1,0.004888
1.546000,1016,4.965787,0,0.000000
